WKT,id,photoURL,lat,long,rubbishRunID,userName,rubbishType,city,totalNumberOfItemsTagged,datetime,date,Mile,dist_m,Morphology,Brand,Survey Type,Data Cleaning Notes
"POINT (-118.3469475 35.06722846)",xbiQCDBpdbwTpTcwOcTI,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FxbiQCDBpdbwTpTcwOcTI.jpg?alt=media&token=66f510cf-da19-43bb-aaee-bc5ca6e624b1,35.06722846,-118.3469475,rzGGS8EPe5rsX6x2Im8j,notracetrails,wood,Mojave,5.0,2023-05-11T18:10:29.020611Z,5/11/2023,560.0,122.8564414,,,,
"POINT (-118.4741974 34.854347)",P5qGsFwTRt8zUc2tNcBB,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FP5qGsFwTRt8zUc2tNcBB.jpg?alt=media&token=c23aea7d-bd17-403d-a8d0-dfaf905dfa6a,34.854347,-118.4741974,hC2z3Bytg7T0tycdQpIN,notracetrails,metal,Rosamond,1.0,2023-05-08T02:04:54.508941Z,5/8/2023,530.0,879.2376317,Shackle,,,
"POINT (-118.4749504 34.8540826)",at1XH4t5Sj0gXQNm7N1N,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fat1XH4t5Sj0gXQNm7N1N.jpg?alt=media&token=86663a1e-5c15-463f-8d85-99e3908305e1,34.8540826,-118.4749504,hC2z3Bytg7T0tycdQpIN,notracetrails,hard plastic,Rosamond,1.0,2023-05-08T02:03:24.663080Z,5/8/2023,530.0,805.1982111,Bottle Cap,,,
"POINT (-118.4750646 34.8540565)",x4dow6wSvFqImdYMkEkp,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fx4dow6wSvFqImdYMkEkp.jpg?alt=media&token=25d9eed4-fea7-445d-9924-454cc9ff3b1f,34.8540565,-118.4750646,hC2z3Bytg7T0tycdQpIN,notracetrails,glass,Rosamond,1.0,2023-05-08T02:03:06.435941Z,5/8/2023,530.0,794.3835912,Fragment,,,
"POINT (-118.4750904 34.8540524)",uWsFdg6Qq9b1ffIHtb1T,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FuWsFdg6Qq9b1ffIHtb1T.jpg?alt=media&token=c9a8fffc-964e-4ffd-ac0e-f749393703fa,34.8540524,-118.4750904,hC2z3Bytg7T0tycdQpIN,notracetrails,glass,Rosamond,1.0,2023-05-08T02:02:52.770747Z,5/8/2023,530.0,791.9887659,Fragment,,,
"POINT (-118.4752585 34.8540198)",woRvYtSQhljH2EaIdEwO,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FwoRvYtSQhljH2EaIdEwO.jpg?alt=media&token=3764bb4b-1d52-42aa-b80a-275b27f2253f,34.8540198,-118.4752585,hC2z3Bytg7T0tycdQpIN,notracetrails,hard plastic,Rosamond,1.0,2023-05-08T02:02:34.437077Z,5/8/2023,530.0,776.2333499,Cap,,,
"POINT (-118.47629 34.8536539)",x80dHg3DS0ycQOupxnmC,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fx80dHg3DS0ycQOupxnmC.jpg?alt=media&token=521c8939-e129-44f9-8ef1-e4f565c654cd,34.8536539,-118.47629,hC2z3Bytg7T0tycdQpIN,notracetrails,glass,Rosamond,4.0,2023-05-08T02:01:03.010559Z,5/8/2023,530.0,674.9497453,Fragment,,,
"POINT (-118.476312 34.85364769)",EYDiaP7Y7Bn8VMTYEVmv,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FEYDiaP7Y7Bn8VMTYEVmv.jpg?alt=media&token=db5bf246-5a68-470c-882d-25bc00f684d9,34.85364769,-118.476312,hC2z3Bytg7T0tycdQpIN,notracetrails,glass,Rosamond,1.0,2023-05-08T02:00:47.589173Z,5/8/2023,530.0,672.8394796,,,,
"POINT (-118.476312 34.8536477)",dcAhDU6krAAIfBNkmQSD,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FdcAhDU6krAAIfBNkmQSD.jpg?alt=media&token=5604f9d5-87c2-4cf9-9c03-2374177061a5,34.8536477,-118.476312,hC2z3Bytg7T0tycdQpIN,notracetrails,wood,Rosamond,1.0,2023-05-08T02:00:38.342929Z,5/8/2023,530.0,672.8394796,Lumber,,,
"POINT (-118.4764023 34.8536213)",qu04TSMJjEBjmwGas5LD,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fqu04TSMJjEBjmwGas5LD.jpg?alt=media&token=fe142db7-b7a2-44fc-ac56-e89486404b1d,34.8536213,-118.4764023,hC2z3Bytg7T0tycdQpIN,notracetrails,hard plastic,Rosamond,1.0,2023-05-08T02:00:23.240418Z,5/8/2023,530.0,664.1441678,Other,,,
"POINT (-118.4764638 34.8536103)",4O4mgiASqrFBKImDV3nr,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F4O4mgiASqrFBKImDV3nr.jpg?alt=media&token=c3d70376-6136-4947-b851-9cb247a7b8ad,34.8536103,-118.4764638,hC2z3Bytg7T0tycdQpIN,notracetrails,ceramic,Rosamond,1.0,2023-05-08T02:00:05.120063Z,5/8/2023,530.0,658.3956263,Fragment,,,
"POINT (-118.4764724 34.8536164)",q1t9PndM55AhIidm4Q66,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fq1t9PndM55AhIidm4Q66.jpg?alt=media&token=ac246460-da73-4807-89d0-353a2e845bfe,34.8536164,-118.4764724,hC2z3Bytg7T0tycdQpIN,notracetrails,ceramic,Rosamond,1.0,2023-05-08T01:59:40.757955Z,5/8/2023,530.0,657.7978997,Fragment,,,
"POINT (-118.4766898 34.8535334)",c9ZvXdSOnd2VSx9o24Ef,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fc9ZvXdSOnd2VSx9o24Ef.jpg?alt=media&token=11054e02-ffbb-47ec-9965-5d065d152edb,34.8535334,-118.4766898,hC2z3Bytg7T0tycdQpIN,notracetrails,soft plastic,Rosamond,1.0,2023-05-08T01:59:14.279118Z,5/8/2023,530.0,636.3494968,Fragment,,,
"POINT (-118.4767448 34.8535337)",PIXmJFyf7ZAlB5ulYLN8,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FPIXmJFyf7ZAlB5ulYLN8.jpg?alt=media&token=432baf3c-95b1-4209-b165-c5fe98012dad,34.8535337,-118.4767448,hC2z3Bytg7T0tycdQpIN,notracetrails,hard plastic,Rosamond,1.0,2023-05-08T01:59:04.230560Z,5/8/2023,530.0,631.4727871,Cap,,,
"POINT (-118.4776966 34.8532629)",JT9yN2jDjTU1Sv0EUPUj,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FJT9yN2jDjTU1Sv0EUPUj.jpg?alt=media&token=3c0d824f-2371-40c2-a969-819c90bd3ecc,34.8532629,-118.4776966,hC2z3Bytg7T0tycdQpIN,notracetrails,hard plastic,Rosamond,1.0,2023-05-08T01:56:57.296019Z,5/8/2023,530.0,540.0773317,Bullet Case,,,
"POINT (-118.4777491 34.8532576)",DhqoalX8ZxjN0A3h9wur,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FDhqoalX8ZxjN0A3h9wur.jpg?alt=media&token=87b89c3d-bfa9-46b6-9a9f-c65edc9f8c57,34.8532576,-118.4777491,hC2z3Bytg7T0tycdQpIN,notracetrails,uncategorized,Rosamond,1.0,2023-05-08T01:56:40.802040Z,5/8/2023,530.0,535.276269,Fragment,,,
"POINT (-118.4778289 34.8532464)",Ye93S8Wu4rH6mUD13SX1,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FYe93S8Wu4rH6mUD13SX1.jpg?alt=media&token=955bb415-d79a-4f99-93ea-4b8445cb79de,34.8532464,-118.4778289,hC2z3Bytg7T0tycdQpIN,notracetrails,plastic rubber,Rosamond,1.0,2023-05-08T01:56:26.796571Z,5/8/2023,530.0,527.8945321,Tire Fragment,,,
"POINT (-118.4779655 34.853183)",Bhx3nATNqDozirB4Hf72,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FBhx3nATNqDozirB4Hf72.jpg?alt=media&token=f1840e7c-f1f6-4b80-a685-cc225b62b0e5,34.853183,-118.4779655,hC2z3Bytg7T0tycdQpIN,notracetrails,hard plastic,Rosamond,1.0,2023-05-08T01:55:55.569910Z,5/8/2023,530.0,514.2135673,Bread Clip,,,
"POINT (-118.4787625 34.8530512)",Wfp5tEynlkT7rKTBvhoX,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FWfp5tEynlkT7rKTBvhoX.jpg?alt=media&token=f98c9110-48e9-4945-b1fb-8830e395bf3e,34.8530512,-118.4787625,hC2z3Bytg7T0tycdQpIN,notracetrails,plastic rubber,Rosamond,1.0,2023-05-08T01:54:25.812558Z,5/8/2023,530.0,440.032287,Tire Fragment,,,
"POINT (-118.4789045 34.8530228)",8Q9INYKdI3b0S0jUHov3,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F8Q9INYKdI3b0S0jUHov3.jpg?alt=media&token=83ec0671-9ea4-49d4-9eaf-6dd809342b76,34.8530228,-118.4789045,hC2z3Bytg7T0tycdQpIN,notracetrails,soft plastic,Rosamond,1.0,2023-05-08T01:53:48.644157Z,5/8/2023,530.0,426.7044238,Bottle,,,
"POINT (-118.4790863 34.8529831)",rWELMuYA7dxJPa90iWA5,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FrWELMuYA7dxJPa90iWA5.jpg?alt=media&token=71019b3c-cf9c-4487-9984-54743e7e34a1,34.8529831,-118.4790863,hC2z3Bytg7T0tycdQpIN,notracetrails,plastic rubber,Rosamond,1.0,2023-05-08T01:53:16.877593Z,5/8/2023,530.0,409.5495869,Fragment,,,
"POINT (-118.4792102 34.8529627)",7AMbdtYylCtdTASdKJSt,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F7AMbdtYylCtdTASdKJSt.jpg?alt=media&token=59731c9e-91c2-4581-8cf2-54e3e3ee4c2d,34.8529627,-118.4792102,hC2z3Bytg7T0tycdQpIN,notracetrails,plastic rubber,Rosamond,1.0,2023-05-08T01:53:00.730291Z,5/8/2023,530.0,398.0271512,Gasket,,,
"POINT (-118.4799236 34.8528383)",INnLDJ8MJSVFCxKhoLkA,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FINnLDJ8MJSVFCxKhoLkA.jpg?alt=media&token=6281623c-1b51-48eb-96e0-c1d8afe9a616,34.8528383,-118.4799236,hC2z3Bytg7T0tycdQpIN,notracetrails,plastic rubber,Rosamond,1.0,2023-05-08T01:51:50.473682Z,5/8/2023,530.0,331.4779848,Fragment,,,
"POINT (-118.4802317 34.8527834)",E5QytsCzvC0fPAoFlodd,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FE5QytsCzvC0fPAoFlodd.jpg?alt=media&token=643ea39b-e402-4faa-9750-b6435093c077,34.8527834,-118.4802317,hC2z3Bytg7T0tycdQpIN,notracetrails,soft plastic,Rosamond,1.0,2023-05-08T01:51:09.819364Z,5/8/2023,530.0,302.7064448,Fragment,,,
"POINT (-118.4805721 34.8527072)",Tgie1NimR3DtB2mfOuUk,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FTgie1NimR3DtB2mfOuUk.jpg?alt=media&token=77960b40-a63c-45c5-b56f-910a80604b31,34.8527072,-118.4805721,hC2z3Bytg7T0tycdQpIN,notracetrails,metal,Rosamond,1.0,2023-05-08T01:50:05.999176Z,5/8/2023,530.0,270.5616606,Fragment,,,
"POINT (-118.4806314 34.852704)",aHmBlvV7v8naFeFxvJTZ,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FaHmBlvV7v8naFeFxvJTZ.jpg?alt=media&token=bd50775f-666f-482b-bece-2ab662a31082,34.852704,-118.4806314,hC2z3Bytg7T0tycdQpIN,notracetrails,plastic rubber,Rosamond,1.0,2023-05-08T01:49:33.201504Z,5/8/2023,530.0,265.1942987,Gasket,,,
"POINT (-118.4810937 34.8526357)",CG3njCdjk09hBH3cM9xP,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FCG3njCdjk09hBH3cM9xP.jpg?alt=media&token=beb66a48-b2e3-4973-b16a-31c9472fceda,34.8526357,-118.4810937,hC2z3Bytg7T0tycdQpIN,notracetrails,food,Rosamond,1.0,2023-05-08T01:48:50.250787Z,5/8/2023,530.0,222.3475549,Other,,,
"POINT (-118.4822454 34.8524408)",rS0cTvSJFedVD549mAWo,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FrS0cTvSJFedVD549mAWo.jpg?alt=media&token=18d86324-3922-4d89-94d6-9698f83e2c0e,34.8524408,-118.4822454,hC2z3Bytg7T0tycdQpIN,notracetrails,metal,Rosamond,1.0,2023-05-08T01:46:51.581192Z,5/8/2023,530.0,115.0599785,Wire,,,
"POINT (-118.5871116 34.8342165)",HxtJXU9qqp0MgS7GwEo2,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FHxtJXU9qqp0MgS7GwEo2.jpg?alt=media&token=925067b0-9a6c-497d-a335-2bc50a2dd583,34.8342165,-118.5871116,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,3.0,2023-05-07T22:27:47.257676Z,5/7/2023,520.0,4871.309396,Fragment,,,
"POINT (-118.5871609 34.8342233)",8E6NJzD6ht4NcY4ijJiT,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F8E6NJzD6ht4NcY4ijJiT.jpg?alt=media&token=5becef3c-3a0f-4ca6-86f7-7310d5537d8b,34.8342233,-118.5871609,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,1.0,2023-05-07T22:27:35.887579Z,5/7/2023,520.0,4872.093722,Fragment,,,
"POINT (-118.5871713 34.83421919)",fJQc7MaBzv866x7cP5FX,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FfJQc7MaBzv866x7cP5FX.jpg?alt=media&token=9e0c6c6a-ae95-4692-82a8-fb362e3af0b5,34.83421919,-118.5871713,GDwhEFWVKgfbB9BMx0DT,notracetrails,uncategorized,Rosamond,4.0,2023-05-07T22:27:17.758092Z,5/7/2023,520.0,4871.642222,,,,
"POINT (-118.5871713 34.8342192)",5rxsgH0wAvawCVaCWGPN,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F5rxsgH0wAvawCVaCWGPN.jpg?alt=media&token=94a0c2c6-a3b5-4825-8e58-7191b6cf08be,34.8342192,-118.5871713,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,1.0,2023-05-07T22:27:11.220278Z,5/7/2023,520.0,4871.642222,Fragment,,,
"POINT (-118.5871999 34.83421337)",K7M6pNqxxvlCYh7Zwb2s,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FK7M6pNqxxvlCYh7Zwb2s.jpg?alt=media&token=83c43211-456d-4ee4-a0ec-930ad7e9e78b,34.83421337,-118.5871999,GDwhEFWVKgfbB9BMx0DT,notracetrails,hard plastic,Rosamond,1.0,2023-05-07T22:26:55.187589Z,5/7/2023,520.0,4871.014021,,,,
"POINT (-118.5871999 34.83421337)",0tdCg0k7rAEPV2acCYrt,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F0tdCg0k7rAEPV2acCYrt.jpg?alt=media&token=3e22da6c-c82e-4d56-a46f-bf6e75eb9788,34.83421337,-118.5871999,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,3.0,2023-05-07T22:26:43.027305Z,5/7/2023,520.0,4871.014021,,,,
"POINT (-118.5871999 34.8342134)",oaEcFs7tkxbj6vyJRiKl,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FoaEcFs7tkxbj6vyJRiKl.jpg?alt=media&token=dd0ebfb3-659d-47f7-995d-d260d2e4daeb,34.8342134,-118.5871999,GDwhEFWVKgfbB9BMx0DT,notracetrails,glass,Rosamond,1.0,2023-05-07T22:26:38.560616Z,5/7/2023,520.0,4871.014021,Fragment,,,
"POINT (-118.5872124 34.8342207)",gk6oPM4oaOz6Scpw8wG3,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fgk6oPM4oaOz6Scpw8wG3.jpg?alt=media&token=8754a6cd-a123-444e-97f2-df9694a94260,34.8342207,-118.5872124,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,1.0,2023-05-07T22:26:31.254037Z,5/7/2023,520.0,4871.842237,Fragment,,,
"POINT (-118.5872268 34.834204)",eJOnBrNgrgH7MDTOAUKM,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FeJOnBrNgrgH7MDTOAUKM.jpg?alt=media&token=3ce7013b-8d5d-4035-84b8-4f96ab1d0de5,34.834204,-118.5872268,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,2.0,2023-05-07T22:26:21.199735Z,5/7/2023,520.0,4869.99002,Fragment,,,
"POINT (-118.5872645 34.8342115)",sgCpRWgqDjm1ddPIOaA5,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FsgCpRWgqDjm1ddPIOaA5.jpg?alt=media&token=88f5e24c-3fe5-4354-97ec-596dc4b8fb77,34.8342115,-118.5872645,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,1.0,2023-05-07T22:26:10.999972Z,5/7/2023,520.0,4870.851626,Fragment,,,
"POINT (-118.5872733 34.8341919)",b2E82O6HtrDpjJ0tMVK0,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fb2E82O6HtrDpjJ0tMVK0.jpg?alt=media&token=c603c210-60bb-4dec-878e-4acd78b9801c,34.8341919,-118.5872733,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,1.0,2023-05-07T22:25:56.000449Z,5/7/2023,520.0,4868.678545,Fragment,,,
"POINT (-118.5872875 34.8341907)",lJ2wMAxu7TLcjdqV2Mkq,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FlJ2wMAxu7TLcjdqV2Mkq.jpg?alt=media&token=804ee972-1578-4861-bb0e-9091d022ff2a,34.8341907,-118.5872875,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,1.0,2023-05-07T22:25:48.298892Z,5/7/2023,520.0,4868.563901,Fragment,,,
"POINT (-118.5873366 34.8341706)",I9WjImCnbe2RYJKajnME,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FI9WjImCnbe2RYJKajnME.jpg?alt=media&token=6ba1de22-62fb-4cdb-973a-66440e25a6f8,34.8341706,-118.5873366,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,6.0,2023-05-07T22:25:28.301445Z,5/7/2023,520.0,4866.370539,Wire,,,
"POINT (-118.5873853 34.8341905)",QRdGhtYtXCmMtKRjAUgH,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FQRdGhtYtXCmMtKRjAUgH.jpg?alt=media&token=aed30817-f72c-453d-9f5b-626f65a13c87,34.8341905,-118.5873853,GDwhEFWVKgfbB9BMx0DT,notracetrails,hard plastic,Rosamond,1.0,2023-05-07T22:25:09.913828Z,5/7/2023,520.0,4868.629508,Fragment,,,
"POINT (-118.587452 34.8341606)",gVDeE0wzSxqsmAnk73vM,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FgVDeE0wzSxqsmAnk73vM.jpg?alt=media&token=7fb408c0-3c11-41d4-bbe5-edb7021df95a,34.8341606,-118.587452,GDwhEFWVKgfbB9BMx0DT,notracetrails,plastic rubber,Rosamond,1.0,2023-05-07T22:24:29.443511Z,5/7/2023,520.0,4865.382149,Fragment,,,
"POINT (-118.5874658 34.834169)",4liNcAT9EE2K5jO1xYIk,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F4liNcAT9EE2K5jO1xYIk.jpg?alt=media&token=5c8b739f-a88e-481b-8d66-2e4031dd3493,34.834169,-118.5874658,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,2.0,2023-05-07T22:24:21.386050Z,5/7/2023,520.0,4866.322628,Fragment,,,
"POINT (-118.5874916 34.834179)",NaPldKXdUG1dws1fiICd,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FNaPldKXdUG1dws1fiICd.jpg?alt=media&token=245722a8-7d65-4557-bf05-b74315e07341,34.834179,-118.5874916,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,1.0,2023-05-07T22:24:09.798785Z,5/7/2023,520.0,4867.464548,Fragment,,,
"POINT (-118.5875142 34.8341622)",2evleccs1kW1QBMg9fn3,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F2evleccs1kW1QBMg9fn3.jpg?alt=media&token=b46ee44a-efac-4831-a80d-c7762f877a58,34.8341622,-118.5875142,GDwhEFWVKgfbB9BMx0DT,notracetrails,metal,Rosamond,1.0,2023-05-07T22:23:55.060542Z,5/7/2023,520.0,4865.62334,Bullet Case,Winchester,,
